property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat, The M D Co Op Housing Federation,0.82,3,2,2,New Property,850,0,0,0,Low,Low Floor
flat," Ahuja Towers, Prabhadevi",0.95,2,2,2,New Property,1226,1,0,0,Low,Mid Floor
flat," Lodha Allura, Worli",0.32,2,2,1,New Property,1000,0,0,0,Low,High Floor
flat," Sheth Beau Pride, Bandra",1.6,3,4,3+,Relatively New,1615,1,0,1,High,Mid Floor
flat, Piramal Mahalaxmi,0.48,2,2,1,Relatively New,582,0,1,0,High,Mid Floor
flat," Planet Godrej, Mahalaxmi",7.5,4,4,3+,New Property,4842,1,0,1,Low,High Floor
flat, Shapoorji Pallonji Skyraa,2,3,3,3+,Relatively New,2116,1,0,0,Medium,High Floor
flat, Piramal Mahalaxmi,1.9,3,4,3,Relatively New,1710,1,0,0,High,Mid Floor
house, Adani The Views Delhi,1.2,3,2,1,Old Property,1185.51,0,0,0,Low,Low Floor
house, Prestige Jasdan Classic,4.5,3,3,2,Moderately Old,1350,1,0,0,Medium,Low Floor
house, Raymond Tenx Habitat Delhi,1.55,3,2,0,Relatively New,2360,0,0,0,Low,Low Floor
flat, Hiranandani Garden Powai,1.6,2,2,2,Relatively New,1222,0,0,0,Medium,Mid Floor
flat, Raymond Tenx Habitat Delhi,2.25,3,4,3,Relatively New,2339,1,0,0,Medium,High Floor
flat, Godrej Horizon Delhi,2.77,4,4,3+,Relatively New,2194,1,0,2,High,Mid Floor
house, Mahindra Happinest Kalyan,1.2,2,4,2,Relatively New,846,0,0,1,Low,Low Floor
flat," Sheth Beau Pride, Bandra",1.55,3,4,3,Relatively New,1805,1,0,1,Medium,High Floor
flat, Lodha Bellagio Delhi,1.09,2,2,3,Relatively New,1638,0,1,0,High,Mid Floor
flat, Birla Niyaara Worli,1.15,2,2,3,New Property,1400,0,0,0,Medium,Mid Floor
flat, Lodha Bellagio Delhi,1.77,3,4,3+,New Property,2179,0,1,0,Medium,Mid Floor
flat, Kumar Parasmani Ghatkopar,0.85,2,2,1,Old Property,734,0,0,1,Low,Low Floor
flat, Avanya,0.9,2,2,3+,Relatively New,1236,0,0,1,Low,Mid Floor
flat, Amara,1.2,2,2,3,Under Construction,1307,0,0,0,Medium,Low Floor
flat, Acropolis,0.6,1,1,1,Moderately Old,665,0,0,1,Medium,Mid Floor
house, Ashish Samriddhi,9,8,5,3+,Old Property,3240,1,1,1,Low,Mid Floor
house, Ashish Samriddhi,7,7,7,3+,Moderately Old,2475,1,1,2,High,Mid Floor
flat, Hiranandani Garden Powai,0.9,4,2,3+,Old Property,1382,0,0,0,Low,Low Floor
house, Ajmera Treon,0.4,1,1,0,Moderately Old,450,0,0,0,Low,Low Floor
house, Raymond Tenx Habitat Delhi,5.65,4,4,3+,New Property,5400,1,0,1,Low,Low Floor
flat, Agarwal Paramount,2.15,2,2,3,Under Construction,1676,0,0,0,Medium,High Floor
house, Arkade Earth,4.4,6,6,3,Moderately Old,2880,1,1,2,Medium,Mid Floor
flat, Aadi Allure Wings A To E,0.64,2,2,3,Relatively New,1361,0,0,1,Medium,High Floor
flat, Godrej Horizon Delhi,2.86,3,3,3,Under Construction,2267,1,0,0,Low,High Floor
flat, Alfa Mana A M Residency,3.5,3,3,3,Moderately Old,2125,1,1,1,Medium,Mid Floor
house," Ahuja Towers, Prabhadevi",0.7,2,2,2,New Property,1297,0,0,0,Low,High Floor
flat, Arkade Earth Hazel,1.54,3,3,3+,Relatively New,1780,1,0,0,High,High Floor
house, ANA Avant Garde Phase 1,8.25,4,4,3+,Relatively New,2160,1,1,1,High,Mid Floor
house, Raymond Tenx Habitat Delhi,6.1,5,6,3+,Moderately Old,2430,1,0,0,Low,Low Floor
flat, Amal Aspen Garden,2.1,4,4,3,Relatively New,2300,0,0,0,Medium,Low Floor
flat, Anora Residency,1.25,3,3,3,Relatively New,1563,0,0,0,Low,Low Floor
flat, Aashray Aanand,0.7,2,2,2,Relatively New,773,0,0,0,Medium,Mid Floor
flat, Adityaraj Saphalya,2.8,3,3,3,Moderately Old,2047,1,0,2,Low,Mid Floor
house, Hiranandani Garden Powai,5.5,4,3,3,Old Property,1800,0,0,1,Low,Low Floor
flat, Aashray Aanand,2.58,3,4,2,Moderately Old,2200,1,0,0,Medium,Mid Floor
flat, Ashar Sapphire,3,3,3,3+,Relatively New,2460,1,0,0,High,Mid Floor
house, Ashoka Swaroop Residency,1.25,3,6,2,Old Property,115,0,0,0,Low,Mid Floor
flat, Ashar Edge,2.1,3,2,3,Under Construction,1534,0,0,0,Medium,Mid Floor
flat, Ashar Sapphire,2.45,3,3,3,Relatively New,2014,0,0,0,Medium,Mid Floor
flat, Arihant Anmol Phase II,1.38,3,3,1,Relatively New,1709,0,0,0,High,High Floor
flat," Ahuja Towers, Prabhadevi",1.71,3,2,0,New Property,1423,0,0,0,Low,Mid Floor
flat, Ashford Royale Tower D,1.85,3,4,3,New Property,1941,0,1,1,High,Mid Floor
flat, Arsiwala Essar Apex,0.6,2,2,3,New Property,625,0,0,0,Low,Mid Floor
flat, Adinath Saanvi Heights,0.81,2,2,2,Relatively New,1176,0,0,1,Medium,High Floor
flat, Ajmera Iland,5.6,3,3,3+,Under Construction,2617,0,0,0,Low,Low Floor
flat, A K Plaza,1.5,2,2,3,Relatively New,1300,0,1,0,High,High Floor
flat, Arsiwala Essar Apex,1.45,3,3,3,Relatively New,1639,0,0,0,Medium,Mid Floor
flat, Shapoorji Pallonji Skyraa,1.65,3,4,3,Moderately Old,1771.32,0,0,1,Medium,Mid Floor
flat, Arkade Earth Wing Ebony,0.45,1,1,0,Moderately Old,513,0,0,1,Low,Low Floor
flat, Mahindra Happinest Kalyan,0.35,2,2,1,Moderately Old,737,0,0,0,Low,Low Floor
house, Atlanta CHS,5.75,4,4,2,Under Construction,2430,1,1,2,High,Mid Floor
flat, Lodha Bellagio Delhi,1.12,2,2,3,Relatively New,1485,0,0,0,Low,Mid Floor
flat, The M D Co Op Housing Federation,0.75,2,2,2,Relatively New,856,0,0,0,Low,Mid Floor
flat," Ahuja Towers, Prabhadevi",0.25,1,1,1,New Property,430,0,0,0,Medium,Mid Floor
house, Ajmera Treon,0.67,3,2,1,Moderately Old,783,0,0,0,Low,Low Floor
flat, Acropolis,0.56,1,1,2,Moderately Old,723,0,0,0,Medium,Mid Floor
flat, Birla Niyaara Worli,1.75,3,4,3+,Relatively New,1706,0,0,2,Low,High Floor
house, Ajmera Redwood Building,4.15,5,4,2,Old Property,2250,0,0,1,Medium,Low Floor
flat, Adityaraj Saphalya,3.4,3,4,3,Relatively New,2134,1,0,1,High,High Floor
flat, Aadi Allure Wings A To E,2.3,3,3,3+,Relatively New,1617,1,0,2,Low,High Floor
house, Ashiana Prem Aangan,7.6,2,9,3,Relatively New,1961,0,1,1,Medium,Mid Floor
flat, Aristocrat Jai Savitri CHSL,0.32,2,2,1,Relatively New,610,0,0,1,Medium,Mid Floor
flat, Piramal Mahalaxmi,0.45,1,1,2,Relatively New,750,0,0,0,Low,Mid Floor
house, Ankurdev Danvijay CHSL,2.99,4,4,2,Moderately Old,1449,1,0,1,Low,Low Floor
flat, Raymond Tenx Habitat Delhi,1.5,3,4,3+,Relatively New,1797,1,0,0,Low,Mid Floor
house, Ashish Samriddhi,2.65,3,3,3,New Property,1400,1,0,1,Low,Mid Floor
house, Amara,1.5,7,2,0,Moderately Old,1980,0,0,0,Low,Low Floor
flat, Arkade Earth Hazel,1.5,3,3,1,Relatively New,1719,0,0,0,Low,High Floor
flat, ANA Avant Garde Phase 1,9.3,4,4,3+,Moderately Old,3831,1,1,1,Medium,Mid Floor
